time,buy_price,sell_price,solar_production,consumption,battery_action,grid_action,battery_soc,buying_cost,selling_revenue,income,cum_income,consumption_cost,cum_consumption_cost,cum_solar_earn
2024-07-11 17:00:00,0.456,0.131,0.5774539767343907,3.5270159634642,-2.9495603599124114,1.626817398025178e-06,25.933307094935852,7.418287334994812e-07,0.0,-7.418287334994812e-07,-720.1953024027949,1.6083192793396752,3452.9883329907507,2732.793030587956
2024-07-11 18:00:00,0.456,0.118,0.0834433351158811,3.2768180676046996,-3.1933730170831933,1.7154056253300063e-06,22.828506716080682,7.822249651504829e-07,0.0,-7.822249651504829e-07,-720.19530318502,1.494229038827743,3454.4825620295783,2734.2872588445584
2024-07-11 19:00:00,0.456,0.331,0.0,3.3202026244039997,-3.7815586797983722,-0.4613560553943725,19.46706143494048,0.0,0.15270885433553733,0.15270885433553733,-720.0425943306844,1.514012396728224,3455.9965744263063,2735.953980095622
2024-07-11 20:00:00,0.456,0.155,0.0,3.4190671324412003,-3.4190675503127004,-4.178714997918852e-07,15.486473350942193,0.0,6.47700824677422e-08,6.47700824677422e-08,-720.0425942659143,1.5590946123931875,3457.5556690386993,2737.513074772785
2024-07-11 21:00:00,0.394,0.076,0.0,2.7696670571824997,-2.7696639487132004,3.1084692993977435e-06,11.887454876928825,1.224736903962711e-06,0.0,-1.224736903962711e-06,-720.0425954906513,1.091248820529905,3458.6469178592292,2738.604322368578
2024-07-11 22:00:00,0.394,0.072,0.0,2.0413726750449,-2.04136844267806,4.232366840161774e-06,8.972019141441244,1.6675525350237392e-06,0.0,-1.6675525350237392e-06,-720.0425971582038,0.8043008339676906,3459.451218693197,2739.4086215349935
2024-07-11 23:00:00,0.394,0.06,0.0,1.3520507883504,-1.3520501367657336,6.515846665048176e-07,6.823210254411707,2.567243586028981e-07,0.0,-2.567243586028981e-07,-720.0425974149281,0.5327080106100577,3459.983926703807,2739.941329288879
2024-07-12 00:00:00,0.376,0.057,0.0,1.0374636939041002,4.377556973798742e-07,1.0374641316597977,5.399999584131987,0.3900865135040839,0.0,-0.3900865135040839,-720.4326839284322,0.3900863489079417,3460.374013052715,2739.9413291242827
2024-07-12 01:00:00,0.376,0.053,0.0,0.84903386638826,5.239454299946219e-05,0.8490862609312594,5.3999999999999,0.31925643411015353,0.0,-0.31925643411015353,-720.7519403625423,0.31923673376198575,3460.693249786477,2739.9413094239344
2024-07-12 02:00:00,0.376,0.052,0.0,0.788162045212,-5.467990762347828e-08,0.7881619905320923,5.400049774815749,0.2963489084400667,0.0,-0.2963489084400667,-721.0482892709824,0.296348928999712,3460.9895987154764,2739.941309444494
2024-07-12 03:00:00,0.376,0.051,0.0,0.7871909791002,-2.287185336888169e-06,0.7871886919148631,5.400049717257952,0.2959829481599885,0.0,-0.2959829481599885,-721.3442722191425,0.2959838081416752,3461.285582523618,2739.9413103044753
2024-07-12 04:00:00,0.376,0.051,0.0,0.8755873148856,3.0185008658442568e-05,0.8756174998942584,5.40004730969444,0.3292321799602412,0.0,-0.3292321799602412,-721.6735043991027,0.32922083039698563,3461.614803354015,2739.941298954912
2024-07-12 05:00:00,0.376,0.051,0.1521164641823033,1.1150738559415,-1.0112244796119052e-06,0.9629563805347172,5.400075985452665,0.3620715990810537,0.0,-0.3620715990810537,-722.0355759981838,0.41926776983400404,3462.0340711238487,2739.9984951256647
2024-07-12 06:00:00,0.394,0.053,0.8523917376493969,1.4487287187373001,-7.126961327469363e-05,0.5962657114746285,5.400074921005845,0.23492869032100364,0.0,-0.23492869032100364,-722.2705046885048,0.5707991151824963,3462.6048702390312,2740.3343655505264
2024-07-12 07:00:00,0.394,0.051,2.517252391756706,1.41933776933374,1.0904213965054756,-0.007493225917490192,5.399999900360292,0.0,0.0003821545217919998,0.0003821545217919998,-722.270122533983,0.5592190811174935,3463.164089320149,2740.893966786166
2024-07-12 08:00:00,0.394,0.052,4.479645705318967,1.2945564738641,3.1850892185920783,-1.286278921431173e-08,6.435900227040494,0.0,6.688650391442099e-10,6.688650391442099e-10,-722.2701225333142,0.5100552507024554,3463.6741445708512,2741.4040220375373
2024-07-12 09:00:00,0.394,0.055,5.728769249443461,1.7064454630077401,4.019078669568555,-0.0032451168671668376,9.461734984702968,0.0,0.00017848142769417608,0.00017848142769417608,-722.2699440518865,0.6723395124250496,3464.346484083276,2742.07654003139
2024-07-12 10:00:00,0.376,0.055,6.598757290681385,1.9884178648758402,4.6102939082015695,-4.5517603974927917e-05,13.279859720793095,0.0,2.5034682186210356e-06,2.5034682186210356e-06,-722.2699415484183,0.747645117193316,3465.0941292004695,2742.8241876520515
2024-07-12 11:00:00,0.376,0.055,7.021259451179335,2.22610933638444,4.795151146179288,1.0313843922977631e-06,17.659638933584585,3.878005315039589e-07,0.0,-3.878005315039589e-07,-722.2699419362189,0.8370171104805494,3465.93114631095,2743.6612043747314
2024-07-12 12:00:00,0.376,0.055,7.0244534156923795,2.34678004958544,4.677627494383543,-4.587172339608137e-05,22.21503252245491,0.0,2.5229447867844754e-06,2.5229447867844754e-06,-722.2699394132741,0.8823892986441255,3466.8135356095945,2744.5435961963203
2024-07-12 13:00:00,0.376,0.065,6.549119542296655,2.30415168445944,0.35918027182346435,-3.8857875860137505,26.658778642119273,0.0,0.2525761930908938,0.2525761930908938,-722.0173632201831,0.8663610333567494,3467.6798966429515,2745.6625334227683
2024-07-12 14:00:00,0.394,0.076,5.63396484026651,2.58295385186444,6.8810761576553935e-15,-3.051010988402063,26.999999900351565,0.0,0.23187683511855678,0.23187683511855678,-721.7854863850646,1.0176838176345895,3468.697580460586,2746.912094075521
2024-07-12 15:00:00,0.394,0.096,4.282319778212251,2.8021483122798405,-3.22064133245353e-15,-1.480171465932414,26.999999900351572,0.0,0.14209646072951176,0.14209646072951176,-721.6433899243351,1.1040464350382573,3469.801626895624,2748.1582369712887
2024-07-12 16:00:00,0.456,0.113,2.422525489143455,2.9519013529382,-0.5293769945088843,-1.1307141389412553e-06,26.99999990035157,0.0,1.2777069770036186e-07,1.2777069770036186e-07,-721.6433897965644,1.3460670169398192,3471.1476939125637,2749.5043041159993
2024-07-12 17:00:00,0.456,0.131,0.692587085073868,3.1196878031961996,-2.4270899802520813,1.0737870250140612e-05,26.44276095876327,4.896468834064119e-06,0.0,-4.896468834064119e-06,-721.6433946930332,1.422577638257467,3472.570271550821,2750.9268768577876
2024-07-12 18:00:00,0.456,0.118,0.081799501876824,2.6730040020385,-2.5912000254140946,4.474747582048458e-06,23.887929400603184,2.0404848974140966e-06,0.0,-2.0404848974140966e-06,-721.6433967335181,1.218889824929556,3473.7891613757506,2752.1457646422323
2024-07-12 19:00:00,0.456,0.331,0.0,3.115508060462999,-5.629291272903739,-2.5137832124407393,21.160350426483085,0.0,0.8320622433178848,0.8320622433178848,-720.8113344902002,1.4206716755711277,3475.2098330513218,2754.3984985611214
2024-07-12 20:00:00,0.456,0.155,0.0,3.2745249481801997,-3.274524923539135,2.4641064817188134e-08,15.23478066553178,1.123632555663779e-08,0.0,-1.123632555663779e-08,-720.8113345014366,1.4931833763701712,3476.703016427692,2755.8916819262554
2024-07-12 21:00:00,0.394,0.076,0.0,2.7196448346994995,-2.719639119508699,5.715190800991191e-06,11.78791232496427,2.2517851755905292e-06,0.0,-2.2517851755905292e-06,-720.8113367532218,1.071540064871603,3477.7745564925635,2756.9632197393416
2024-07-12 22:00:00,0.394,0.072,0.0,2.0143667111003,-2.014355690520278,1.1020580021722995e-05,8.925134304428797,4.34210852855886e-06,0.0,-4.34210852855886e-06,-720.8113410953304,0.7936604841735182,3478.568216976737,2757.756875881407
2024-07-12 23:00:00,0.394,0.06,0.0,1.3345358702128,-1.3345219933554615,1.387685733849633e-05,6.80475989335482,5.467481791367554e-06,0.0,-5.467481791367554e-06,-720.8113465628121,0.5258071328638433,3479.094024109601,2758.282677546789
2024-07-13 00:00:00,0.481,0.057,0.0,0.9860142403965,1.0489571636561303e-07,0.9860143452922163,5.399999900349071,0.47427290008555606,0.0,-0.47427290008555606,-721.2856194628977,0.4742728496307165,3479.5682969592317,2758.282677496334
2024-07-13 01:00:00,0.481,0.053,0.0,0.8105933666695999,-3.604835376871344e-13,0.8105933666692394,5.400000000000001,0.3898954093679041,0.0,-0.3898954093679041,-721.6755148722656,0.38989540936807754,3479.9581923685996,2758.282677496334
2024-07-13 02:00:00,0.481,0.052,0.0,0.788162045212,3.833181717456568e-07,0.7881624285301717,5.399999999999622,0.3791061281230126,0.0,-0.3791061281230126,-722.0546210003886,0.379105943746972,3480.337298312347,2758.282677311958
2024-07-13 03:00:00,0.481,0.051,0.0,0.7871909791002,-3.4594516272599583e-07,0.7871906331550372,5.400000364151885,0.3786386945475729,0.0,-0.3786386945475729,-722.4332596949362,0.3786388609471962,3480.715937173294,2758.282677478358
2024-07-13 04:00:00,0.481,0.051,0.0,0.8755873148856,0.00019685427535977716,0.8757841691609598,5.399999999999082,0.42125218536642167,0.0,-0.42125218536642167,-722.8545118803025,0.4211574984599736,3481.1370946717543,2758.2825827914517
2024-07-13 05:00:00,0.481,0.051,0.14574820100073443,1.1150738559415,-3.6675938037288596e-05,0.9692889790027284,5.400187011560674,0.4662279989003123,0.0,-0.4662279989003123,-723.3207398792028,0.5363505247078615,3481.673445196462,2758.3527053172593
2024-07-13 06:00:00,0.481,0.053,0.8464954547363257,1.4487287187373001,-0.0001409850439059524,0.6020922789570684,5.400148405310109,0.2896063861783499,0.0,-0.2896063861783499,-723.6103462653812,0.6968385137126414,3482.3702837101746,2758.7599374447936
2024-07-13 07:00:00,0.481,0.051,2.7734948754187903,1.3625749443358,1.4107281113051646,-0.00019181977782552483,5.400000000000734,0.0,9.782808669101765e-06,9.782808669101765e-06,-723.6103364825725,0.6553985482255198,3483.0256822584,2759.4153457758275
2024-07-13 08:00:00,0.481,0.052,3.8984436499818003,1.35414965340981,2.5427295506914867,-0.001564445880503444,6.74019170574064,0.0,8.135118578617909e-05,8.135118578617909e-05,-723.6102551313867,0.6513459832901186,3483.67702824169,2760.0667731103035
2024-07-13 09:00:00,0.481,0.055,5.786454955494707,1.3735008776091397,4.410121637286713,-0.002832440598853891,9.155784778897553,0.0,0.000155784232936964,0.000155784232936964,-723.6100993471538,0.6606539221299962,3484.3376821638203,2760.7275828166667
2024-07-13 10:00:00,0.481,0.055,6.7027398651776045,1.67109104711474,4.791087180453246,-0.24056163760961863,13.34540033431993,0.0,0.013230890068529025,0.013230890068529025,-723.5968684570853,0.8037947936621899,3485.1414769574826,2761.5446085003973
2024-07-13 11:00:00,0.481,0.055,7.130851418621499,1.8710335998342402,4.791091967065214,-0.46872585172204406,17.896933155750514,0.0,0.025779921844712422,0.025779921844712422,-723.5710885352406,0.8999671615202696,3486.041444119003,2762.4703555837623
2024-07-13 12:00:00,0.481,0.055,7.121135334613869,2.04760737203544,4.791083658471667,-0.2824443041067622,22.448470524462465,0.0,0.01553443672587192,0.01553443672587192,-723.5555540985148,0.9848991459490466,3487.0263432649517,2763.470789166437
2024-07-13 13:00:00,0.481,0.065,6.649924347681198,2.2128996534964402,9.023486645339767e-15,-4.437024694184749,27.0,0.0,0.28840660512200866,0.28840660512200866,-723.2671474933928,1.0644047333317876,3488.0907479982834,2764.8236005048907
2024-07-13 14:00:00,0.499,0.076,5.704440286142539,2.4488951553354403,2.1922802389767663e-14,-3.255545130807077,27.0,0.0,0.24742142994133784,0.24742142994133784,-723.0197260634515,1.2219986825123847,3489.312746680796,2766.2930206173446
2024-07-13 15:00:00,0.499,0.096,4.316839119418066,2.63690694334284,-3.1085020405582027e-15,-1.6799321760752295,27.0,0.0,0.16127348890322205,0.16127348890322205,-722.8584525745482,1.3158165647280773,3490.628563245524,2767.770110670976
2024-07-13 16:00:00,0.561,0.113,2.446005350686834,2.8358700010852003,-0.38985309271988655,1.155767847995413e-05,26.999999999999996,6.483857627254268e-06,0.0,-6.483857627254268e-06,-722.8584590584059,1.5909230706087976,3492.219486316133,2769.361027257727
2024-07-13 17:00:00,0.561,0.131,0.6278910838581694,3.0185991126032,-2.390705130266001,2.8984790300556075e-06,26.589628323452747,1.626046735861196e-06,0.0,-1.626046735861196e-06,-722.8584606844526,1.6934341021703954,3493.9129204183037,2771.054459733851
2024-07-13 18:00:00,0.561,0.118,0.08063690342133323,2.8780653094016997,-2.797424524461854,3.881518512633518e-06,24.07309660738327,2.177531885587404e-06,0.0,-2.177531885587404e-06,-722.8584628619844,1.6145946385743537,3495.527515056878,2772.669052194894
2024-07-13 19:00:00,0.561,0.331,0.0,2.9869614144759993,-6.300616553562107,-3.3136551390861073,21.128439213212896,0.0,1.0968198510375016,1.0968198510375016,-721.761643010947,1.6756853535210356,3497.2032004103994,2775.4415573994524
